customerID,signup_date,signup_cohort,plan,billing_cycle,mrr,lifetime_months,is_churned,num_addons,sso_enabled,cloud_backup,device_mgmt,priority_support,video_collab,media_library,acquisition_channel,cac,ltv_observed,ltv_estimated,ltv_cac_ratio,payback_months,gender,SeniorCitizen
4389-UEFCZ,2018-12-31,2018-12,Business,2-Year,105.5,72,0,4,1,0,1,0,1,1,Partnerships,757.66,7544.0,8598.2,11.35,7.2,Female,0
8670-ERCJH,2018-12-31,2018-12,Business,2-Year,113.4,72,0,6,1,1,1,1,1,1,Referral,382.74,8164.1,9297.24,24.29,3.4,Male,0
9499-XPZXM,2018-12-31,2018-12,Professional,2-Year,64.75,72,0,3,1,1,0,1,0,0,Paid Search,471.54,4804.75,5283.34,11.2,7.3,Female,0
6408-WHTEF,2018-12-31,2018-12,Business,2-Year,89.4,72,0,6,1,1,1,1,1,1,Paid Search,397.37,6376.55,7269.87,18.29,4.4,Male,0
3520-FJGCV,2018-12-31,2018-12,Business,2-Year,112.6,72,0,6,1,1,1,1,1,1,Partnerships,762.12,8126.65,9251.79,12.14,6.8,Male,0
0229-LFJAF,2018-12-31,2018-12,Professional,2-Year,69.65,72,0,4,1,1,1,1,0,0,Content,207.19,4908.25,5423.06,26.17,3.0,Male,0
7781-HVGMK,2018-12-31,2018-12,Professional,2-Year,65.2,72,0,6,1,1,1,1,1,1,Content,250.49,4784.45,5266.37,21.02,3.8,Female,0
5329-KRDTM,2018-12-31,2018-12,Professional,2-Year,77.35,72,0,4,0,1,1,1,1,0,Paid Search,311.82,5396.25,5967.98,19.14,4.0,Male,1
7663-YJHSN,2018-12-31,2018-12,Business,2-Year,103.95,72,0,5,1,1,1,1,1,0,Organic Search,264.73,7556.9,8595.61,32.47,2.5,Female,0
3910-MRQOY,2018-12-31,2018-12,Starter,2-Year,19.4,72,0,0,0,0,0,0,0,0,Paid Social,460.87,1496.45,1896.48,4.11,23.8,Female,0
3511-BFTJW,2018-12-31,2018-12,Starter,2-Year,38.5,72,0,3,1,1,1,0,0,0,Paid Search,383.46,2763.0,3556.87,9.28,10.0,Male,0
0480-KYJVA,2018-12-31,2018-12,Starter,2-Year,24.25,72,0,0,0,0,0,0,0,0,Organic Search,147.15,1784.5,2284.54,15.53,6.1,Female,0
8024-XNAFQ,2018-12-31,2018-12,Business,2-Year,107.4,72,0,5,1,1,1,1,0,1,Organic Search,205.54,7748.75,8821.93,42.92,1.9,Female,1
3704-IEAXF,2018-12-31,2018-12,Professional,2-Year,53.65,72,0,4,0,1,0,1,1,1,Organic Search,114.78,3784.0,4180.55,36.42,2.1,Female,0
7980-MHFLQ,2018-12-31,2018-12,Starter,2-Year,24.9,72,0,0,0,0,0,0,0,0,Paid Social,554.38,1859.2,2372.64,4.28,22.3,Female,0
5296-PSYVW,2019-01-01,2019-01,Starter,2-Year,24.55,72,0,0,0,0,0,0,0,0,Organic Search,116.05,1750.7,2256.92,19.45,4.7,Female,0
5879-HMFFH,2019-01-01,2019-01,Business,2-Year,88.05,72,0,6,1,1,1,1,1,1,Partnerships,971.31,6520.8,7400.63,7.62,11.0,Female,0
4836-WNFNO,2019-01-01,2019-01,Starter,2-Year,25.0,72,0,0,0,0,0,0,0,0,Content,256.05,1849.2,2364.7,9.24,10.2,Female,0
1814-WFGVS,2019-01-01,2019-01,Professional,2-Year,48.9,72,0,4,1,0,1,1,1,0,Paid Social,414.61,3527.0,3888.44,9.38,8.5,Male,0
1775-KWJKQ,2019-01-01,2019-01,Business,2-Year,89.85,72,0,6,1,1,1,1,1,1,Partnerships,1050.67,6562.9,7460.72,7.1,11.7,Male,0
2190-PHBHR,2019-01-01,2019-01,Business,2-Year,94.45,72,0,3,1,1,0,0,0,1,Referral,260.4,6921.7,7865.48,30.21,2.8,Female,0
